 A i A Alojzy Poplewski;      38-200 Jas³o,  Tadeusza Czackiego 5, woj. podkarpackie    ;14 626 35 29;a-poplewski@tlen.pl; NIP: 6850000389 
A & AEIB Service;      81-611 Gdynia,  Wielkokacka 8 lok. 48, woj. pomorskie    ;608 254 178;null;null
A & AEIB Service;      81-611 Gdynia,  Wielkokacka 8 lok. 48, woj. pomorskie    ;608 254 178;null;null
 A i A Alojzy Poplewski;      38-200 Jas³o,  Tadeusza Czackiego 5, woj. podkarpackie    ;14 626 35 29;a-poplewski@tlen.pl; NIP: 6850000389 
 A I M Travel Transport Osobowy I Ciê¿arowy £ukasz Klimkiewicz ;      09-100 P³oñsk,  œw. Kolbe 13 lok. 34, woj. mazowieckie    ;606 351 312;null; NIP: 5671784422 
 A-Trans Adam Jaworski;      26-130 Suchedniów,  Bodzentyñska 9A, woj. œwiêtokrzyskie    ;530 540 360;autogazsuchedniow@gmail.com; NIP: 9482142328 
 A. Dydu³a-Kuczerowska Andentica Stomatologia ;      86-032 Niemcz,  Olimpijczyków 46, woj. kujawsko-pomorskie    ;null;null; NIP: 7811609715 
 A. Nobis Wyrób kaszy gryczanej ;      Jelonek  45,  27-300 Lipsko, woj. mazowieckie   ;511 909 872;null; NIP: 8111245358 
 A.J.P. S.C. PRYSTUPA ARTUR PRYSTUPA JAROS£AW ;      22-400 Zamoœæ,  Dzieci Zamojszczyzny 35, woj. lubelskie    ;84 627 17 97;arturprystupa@interia.eu; NIP: 9222273803
 A.K.S. s.c.;      60-451 Poznañ,  Jana Henryka D¹browskiego 544, woj. wielkopolskie    ;61 848 80 16;agencja@aks-broker.pl;null
 Activum Sp z o o . Zak³ad Obs³ugi Prawnej ;      73-110 Stargard,  £u¿ycka 4 lok. 2, woj. zachodniopomorskie    ;48 915 73 04;null; NIP: 8540010667 
 Adal Adam Gil PPHU;      Kozieg³ówki,  Lipowa 72,  42-350 Kozieg³owy, woj. œl¹skie   ;34 314 10 23;info@adal.net.pl; NIP: 5771395157 
 Adamo;      Starowa Góra,  Szeroka 36,  95-030 Rzgów, woj. ³ódzkie   ;502 199 911;ad-ko@ad-ko.pl; NIP: 7281648994 
 Ag-Med s.c. NZOZ. Centrum medyczne;      33-106 Tarnów,  Okrê¿na 4a, woj. ma³opolskie    ;14 629 99 00;null; NIP: 9930207119 
 AGATA DZIENIS WÊGLEWSKA KANCELARIA NOTARIALNA ;      05-120 Legionowo,  ks. p³k. Mrugacza 1 lok. C, woj. mazowieckie    ;22 774 59 16;dzienis@notariusze.waw.pl; NIP: 9710615773 
 Agencja;      40-012 Katowice,  œw. Jana 11, woj. œl¹skie    ;null;null; NIP: 6340066917 
 Agmar Art-Deco Sklep Firmowy Victoria G¹bki Florystyczne;      30-149 Kraków,  Balicka 56, woj. ma³opolskie    ;606 721 598;marek.grabowski@agmarartdeco.pl ; NIP: 6831452469 
 Agro Group Sp. z o.o. ;      50-057 Wroc³aw,  Krupnicza 4 lok. 2, woj. dolnoœl¹skie    ;null;null; NIP: 8971795035 
